geometry,guidance,nFan,seed,status,leaderLeader,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,totalCollisions,minLeaderGap,minFanCapGap,minFanFanGap,redRMS,goldRMS,redPeak,goldPeak,stopsRed,stopsGold,steps,firstCollisionRelCPA,runtimeSec
headon,vfield,2,42,ok,0,0,0,0,0,0,2.7258,3.453,9.6444,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.87
headon,vfield,2,77,ok,0,0,0,0,0,0,2.7258,3.4125,6.1704,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.86
headon,vfield,2,101,ok,0,0,0,0,0,0,2.7258,3.4592,9.6621,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.91
headon,vfield,2,144,ok,0,0,0,0,0,0,2.7258,3.442,9.2926,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.85
headon,vfield,2,200,ok,0,0,0,0,0,0,2.7258,3.447,2.8205,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.85
headon,vfield,2,256,ok,0,0,0,0,0,0,2.7258,3.4468,8.5967,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.86
headon,vfield,2,314,ok,0,0,0,0,0,0,2.7258,3.4378,8.2074,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.82
headon,vfield,2,400,ok,0,0,0,0,0,0,2.7258,3.4681,7.6833,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.87
headon,vfield,2,512,ok,0,0,0,0,0,0,2.7258,3.4507,9.0994,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.76
headon,vfield,2,613,ok,0,0,0,0,0,0,2.7258,3.4413,7.6823,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.9
headon,vfield,2,700,ok,0,0,0,0,0,0,2.7258,3.4739,8.7831,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.93
headon,vfield,2,808,ok,0,0,0,0,0,0,2.7258,3.4577,8.6801,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.83
headon,vfield,2,900,ok,0,0,0,0,0,0,2.7258,3.4662,7.9458,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.97
headon,vfield,2,1024,ok,0,0,0,0,0,0,2.7258,3.4754,9.6216,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.96
headon,vfield,2,1111,ok,0,0,0,0,0,0,2.7258,3.4775,9.631,1.3138,0.9996,6.2092,5.0072,0,0,20450,,8.02
headon,vfield,2,1234,ok,0,0,0,0,0,0,2.7258,3.4128,6.4381,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.99
headon,vfield,2,1337,ok,0,0,0,0,0,0,2.7258,3.4577,7.1783,1.3138,0.9996,6.2092,5.0072,0,0,20450,,7.86
headon,vfield,3,8,ok,0,0,1,0,0,1,2.7258,0.7495,5.1389,1.3138,0.9996,6.2092,5.0072,0,0,20450,5.96,7.97
