mode,param,value,label,split,nFan,seed,geometry,guidance,configHash,status,totalCollisions,fanOwnCap,fanForeignCap,fanFanSame,fanFanCross,leaderLeader,minFanFanGap,minFanCapGap,minLeaderGap,redRMS,goldRMS,firstCollisionRelCPA,steps,runtimeSec
capacity,,,,holdout,12,1009,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,4.2021,10.584,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1011,headon,vfield,f10d62c73d,ok,1,0,1,0,0,0,6.0073,0.8079,2.7258,2.0438,1.555,26.3,8450,3.89
capacity,,,,holdout,12,1013,headon,vfield,f10d62c73d,ok,1,0,1,0,0,0,8.3612,0.0949,2.7258,2.0438,1.555,29.77,8450,3.89
capacity,,,,holdout,12,1015,headon,vfield,f10d62c73d,ok,1,0,0,1,0,0,0.6562,9.2271,2.7258,2.0438,1.555,3.04,8450,3.89
capacity,,,,holdout,12,1017,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.784,9.8051,2.7258,2.0438,1.555,,8450,3.91
capacity,,,,holdout,12,1019,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.5095,7.5838,2.7258,2.0438,1.555,,8450,3.91
capacity,,,,holdout,12,1021,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.7998,12.5421,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1023,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.0422,12.1945,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1025,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.3515,12.0034,2.7258,2.0438,1.555,,8450,3.92
capacity,,,,holdout,12,1027,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,5.2197,11.3992,2.7258,2.0438,1.555,,8450,3.89
capacity,,,,holdout,12,1029,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.6206,12.7221,2.7258,2.0438,1.555,,8450,3.99
capacity,,,,holdout,12,1031,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,2.0655,4.5596,2.7258,2.0438,1.555,,8450,4.0
capacity,,,,holdout,12,1033,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,6.8589,10.6356,2.7258,2.0438,1.555,,8450,3.9
capacity,,,,holdout,12,1035,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,1.3048,12.5393,2.7258,2.0438,1.555,,8450,3.89
capacity,,,,holdout,12,1037,headon,vfield,f10d62c73d,ok,1,0,0,1,0,0,0.5077,9.785,2.7258,2.0438,1.555,-24.47,8450,3.89
capacity,,,,holdout,12,1039,headon,vfield,f10d62c73d,ok,0,0,0,0,0,0,7.8782,1.0018,2.7258,2.0438,1.555,,8450,3.89
